Company,FY,Assets,EBIT,EBITDA,Equity,FFO,Interest Expense,Long Term Debt,Net Income,Total Debt,Total Revenue,EBIT to Interest Expense,EBITDA to Interest Expense,EBIT Margin,EBITDA Margin,Debt to EBITDA,Debt to EBIT,Debt to Equity,ROE,FFO + IntExp to IntExp,FFO to Debt
ACCENTURE,Average,21487656.0,5073534.75,5564146.75,8250804.25,4960823.25,16480.0,22970.75,3667632.25,12669722.25,34588571.5,308.58334932056084,338.3165966703609,0.14659840555404835,0.1607201383062966,2.286004012502337,2.505793437210955,1.5755444483647192,0.4546838435055525,301.477536866813,0.3898703619938818
ACCENTURE,FY15,18202647.0,4500251.0,4911189.0,6133725.0,4176163.0,14578.0,25587.0,3053581.0,11555076.0,31047931.0,308.70153656194265,336.89045136507065,0.1449452783182235,0.15818087846175644,2.352806214543973,2.567651448774746,1.8838594817993959,0.49783467631822426,287.4702291123611,0.3614137198232188
ACCENTURE,FY16,20609004.0,4810445.0,5256063.0,7555262.0,4667400.0,16258.0,24457.0,4111892.0,12419628.0,32882723.0,295.8817197687292,323.29087218600074,0.14629095650016574,0.15984269307623947,2.362914599767925,2.5818043860807056,1.6438381620650615,0.5442421454080613,288.0832820765162,0.3758083575450086
ACCENTURE,FY17,22689890.0,5142402.0,5654636.0,8949477.0,4973039.0,15545.0,22163.0,3445149.0,12979690.0,34850182.0,330.8074622064973,363.7591508523641,0.147557392957087,0.1622555658389388,2.295406813099906,2.5240519897122007,1.4503294438323044,0.38495534431788586,320.9124477323898,0.38314004417670994
ACCENTURE,FY18,24449083.0,5841041.0,6434699.0,10364753.0,6026691.0,19539.0,19676.0,4059907.0,13724495.0,39573450.0,298.942678745074,329.3259122780081,0.1475999944407172,0.1626014158482518,2.132888422597545,2.3496659242761693,1.3241507057621151,0.39170320797803865,309.44418854598496,0.43911932643059
CGI,Average,11698970.0,1575995.0,1828827.5,6358552.5,1368586.0,70351.5,1739648.25,1055717.25,5340417.5,10830562.75,22.921241693835523,26.53376094680887,0.14544354406118948,0.16890394182167073,2.926048249305283,3.4033174870099296,0.8417890426446639,0.1659212071162583,20.894699803499194,0.2569603335133095
CGI,FY15,11787270.0,1466773.0,1756830.0,6082169.0,1289310.0,86252.0,1896181.0,977556.0,5705101.0,10287096.0,17.00566943375226,20.36857116356722,0.14258377680153855,0.17077997522332833,3.247383639851323,3.8895595978382476,0.9380043533811704,0.1607248992916836,15.948175114779946,0.22599249338442912
CGI,FY16,11693332.0,1556098.0,1816228.0,6464608.0,1333074.0,70257.0,1765062.0,1068716.0,5228724.0,10683264.0,22.148654226625105,25.85120343880325,0.14565754436097433,0.17000684435019112,2.878891857189736,3.360150838828917,0.8088230562471846,0.16531798989203986,19.97425167598958,0.2549520686117684
CGI,FY17,11396212.0,1581829.0,1811984.0,6202626.0,1358552.0,62022.0,1811485.0,1035195.0,5193586.0,10845066.0,25.504321047370286,29.215181709715907,0.14585701921961564,0.16707911228940422,2.866242748280338,3.2832790396433498,0.837320515536484,0.16689624684770613,22.90435651865467,0.2615826521405441
CGI,FY18,11919066.0,1699280.0,1930268.0,6684807.0,1493408.0,62875.0,1485865.0,1141402.0,5234259.0,11506825.0,27.026322067594432,30.700087475149104,0.14767583586262936,0.16774983542375937,2.711674751899736,3.080280471729203,0.7830082454138168,0.17074569243360355,24.752015904572566,0.2853141199164963
COGNIZANT,Average,14614250.0,2470750.0,2879750.0,10524750.0,2207750.0,21750.0,777000.0,1695500.0,4089500.0,14209500.0,114.62424781761166,133.491122128994,0.17373263249486715,0.20238449950014553,1.423771188737075,1.6582710420391815,0.38918960701014393,0.16116983079476707,103.18278032036613,0.5374452074463675
COGNIZANT,FY15,13061000.0,2142000.0,2472000.0,9278000.0,2187000.0,18000.0,877000.0,1624000.0,3783000.0,12416000.0,119.0,137.33333333333334,0.17251932989690721,0.19909793814432988,1.5303398058252426,1.7661064425770308,0.40773873679672346,0.1750377236473378,122.5,0.578112609040444
COGNIZANT,FY16,14262000.0,2316000.0,2695000.0,10728000.0,1645000.0,19000.0,797000.0,1553000.0,3534000.0,13487000.0,121.89473684210526,141.8421052631579,0.17172091643805146,0.19982205086379476,1.311317254174397,1.5259067357512954,0.32941834451901564,0.1447613721103654,87.57894736842105,0.4654782116581777
COGNIZANT,FY17,15221000.0,2589000.0,3032000.0,10669000.0,2407000.0,23000.0,698000.0,1504000.0,4552000.0,14810000.0,112.56521739130434,131.82608695652175,0.174814314652262,0.20472653612424038,1.5013192612137203,1.7582078022402472,0.42665666885368825,0.14096916299559473,105.65217391304348,0.5287785588752196
COGNIZANT,FY18,15913000.0,2836000.0,3320000.0,11424000.0,2592000.0,27000.0,736000.0,2101000.0,4489000.0,16125000.0,105.03703703703704,122.96296296296296,0.17587596899224806,0.20589147286821705,1.3521084337349398,1.5828631875881523,0.39294467787114845,0.18391106442577032,97.0,0.5774114502116284
DXC,Average,15135250.0,946000.0,1929250.0,5084250.0,1368586.0,175250.0,2781500.0,531750.0,9885250.0,11846500.0,3.8141644364614877,9.306952150708977,0.055505935280314014,0.14026240419213784,6.58659100485266,30.428632147170028,2.55442090428323,0.07990215332455017,10.285027232883202,0.1737150101394507
DXC,FY15,10221000.0,102000.0,738000.0,2937000.0,1289310.0,126000.0,1550000.0,2000.0,7256000.0,8117000.0,0.8095238095238095,5.857142857142857,0.012566219046445731,0.09092029074781323,9.831978319783198,71.13725490196079,2.470548178413347,0.0006809669731018045,11.232619047619048,0.17768880926130098
