,Company,Metric,FY,Value
139,IBM,Interest Expense,FY15,468000.0
140,IBM,Net Income,FY18,8728000.0
141,IBM,Net Income,FY17,5753000.0
142,IBM,Net Income,FY16,11872000.0
143,IBM,Net Income,FY15,13190000.0
144,TCS,Total Revenue,FY18,1464630000.0
145,TCS,Total Revenue,FY17,1231040000.0
146,TCS,Total Revenue,FY16,1179660000.0
147,TCS,Total Revenue,FY15,1086460000.0
148,NTT,Total Revenue,FY18,2117167000.0
149,NTT,Total Revenue,FY17,1732473000.0
150,NTT,Total Revenue,FY16,1614897000.0
151,NTT,Total Revenue,FY15,1511812000.0
152,TELUS,Total Revenue,FY18,14095000.0
153,TELUS,Total Revenue,FY17,13305000.0
154,TELUS,Total Revenue,FY16,12725000.0
155,TELUS,Total Revenue,FY15,12430000.0
156,MAXIMUS,Total Revenue,FY18,2392236.0
157,MAXIMUS,Total Revenue,FY17,2450961.0
158,MAXIMUS,Total Revenue,FY16,2403360.0
159,MAXIMUS,Total Revenue,FY15,2099821.0
160,ACCENTURE,Total Revenue,FY18,39573450.0
161,ACCENTURE,Total Revenue,FY17,34850182.0
162,ACCENTURE,Total Revenue,FY16,32882723.0
163,ACCENTURE,Total Revenue,FY15,31047931.0
164,COGNIZANT,Total Revenue,FY18,16125000.0
165,COGNIZANT,Total Revenue,FY17,14810000.0
166,COGNIZANT,Total Revenue,FY16,13487000.0
167,COGNIZANT,Total Revenue,FY15,12416000.0
168,CGI,Total Revenue,FY18,11506825.0
169,CGI,Total Revenue,FY17,10845066.0
170,CGI,Total Revenue,FY16,10683264.0
171,CGI,Total Revenue,FY15,10287096.0
172,DXC,Total Revenue,FY18,24556000.0
173,DXC,Total Revenue,FY17,7607000.0
174,DXC,Total Revenue,FY16,7106000.0
175,DXC,Total Revenue,FY15,8117000.0
176,IBM,Total Revenue,FY18,79591000.0
177,IBM,Total Revenue,FY17,79139000.0
178,IBM,Total Revenue,FY16,79919000.0
179,IBM,Total Revenue,FY15,81741000.0
180,TCS,Assets,FY18,1149430000.0
181,TCS,Assets,FY17,1062960000.0
182,TCS,Assets,FY16,1032520000.0
183,TCS,Assets,FY15,890960000.0
184,TCS,Total Debt,FY18,250440000.0
185,TCS,Total Debt,FY17,207660000.0
186,TCS,Total Debt,FY16,166720000.0
187,TCS,Total Debt,FY15,176690000.0
188,TCS,Equity,FY18,894460000.0
189,TCS,Equity,FY17,851280000.0
190,TCS,Equity,FY16,862140000.0
191,TCS,Equity,FY15,710720000.0
192,NTT,Assets,FY18,2234277000.0
193,NTT,Assets,FY17,2234809000.0
194,NTT,Assets,FY16,1860319000.0
195,NTT,Assets,FY15,1822837000.0
196,NTT,Total Debt,FY18,1365416000.0
197,NTT,Total Debt,FY17,1404541000.0
198,NTT,Total Debt,FY16,1086649000.0
199,NTT,Total Debt,FY15,1016633000.0
200,NTT,Long Term Debt,FY18,468860000.0
201,NTT,Long Term Debt,FY17,328693000.0
202,NTT,Long Term Debt,FY16,319513000.0
203,NTT,Long Term Debt,FY15,349511000.0
204,NTT,Equity,FY18,833858000.0
205,NTT,Equity,FY17,798701000.0
206,NTT,Equity,FY16,740908000.0
207,NTT,Equity,FY15,773493000.0
208,TELUS,Assets,FY18,33065000.0
209,TELUS,Assets,FY17,31053000.0
210,TELUS,Assets,FY16,27729000.0
211,TELUS,Assets,FY15,26406000.0
212,TELUS,Total Debt,FY18,22724000.0
213,TELUS,Total Debt,FY17,21595000.0
214,TELUS,Total Debt,FY16,19793000.0
215,TELUS,Total Debt,FY15,18734000.0
216,TELUS,Long Term Debt,FY18,13218000.0
217,TELUS,Long Term Debt,FY17,12332000.0
218,TELUS,Long Term Debt,FY16,11625000.0
219,TELUS,Long Term Debt,FY15,11182000.0
220,TELUS,Equity,FY18,10259000.0
221,TELUS,Equity,FY17,9416000.0
222,TELUS,Equity,FY16,7917000.0
223,TELUS,Equity,FY15,7672000.0
224,MAXIMUS,Assets,FY18,1462000.0
225,MAXIMUS,Assets,FY17,1350662.0
226,MAXIMUS,Assets,FY16,1348819.0
227,MAXIMUS,Assets,FY15,1271558.0
228,MAXIMUS,Total Debt,FY18,375581.0
229,MAXIMUS,Total Debt,FY17,404894.0
230,MAXIMUS,Total Debt,FY16,595679.0
231,MAXIMUS,Total Debt,FY15,655859.0
232,MAXIMUS,Long Term Debt,FY16,165338.0
233,MAXIMUS,Long Term Debt,FY15,210618.0
234,MAXIMUS,Equity,FY18,1083867.0
235,MAXIMUS,Equity,FY17,940085.0
236,MAXIMUS,Equity,FY16,749081.0
237,MAXIMUS,Equity,FY15,612378.0
238,ACCENTURE,Assets,FY18,24449083.0
239,ACCENTURE,Assets,FY17,22689890.0
240,ACCENTURE,Assets,FY16,20609004.0
241,ACCENTURE,Assets,FY15,18202647.0
242,ACCENTURE,Total Debt,FY18,13724495.0
243,ACCENTURE,Total Debt,FY17,12979690.0
244,ACCENTURE,Total Debt,FY16,12419628.0
245,ACCENTURE,Total Debt,FY15,11555076.0
246,ACCENTURE,Long Term Debt,FY18,19676.0
247,ACCENTURE,Long Term Debt,FY17,22163.0
248,ACCENTURE,Long Term Debt,FY16,24457.0
249,ACCENTURE,Long Term Debt,FY15,25587.0
250,ACCENTURE,Equity,FY18,10364753.0
251,ACCENTURE,Equity,FY17,8949477.0
252,ACCENTURE,Equity,FY16,7555262.0
253,ACCENTURE,Equity,FY15,6133725.0
254,COGNIZANT,Assets,FY18,15913000.0
255,COGNIZANT,Assets,FY17,15221000.0
256,COGNIZANT,Assets,FY16,14262000.0
257,COGNIZANT,Assets,FY15,13061000.0
258,COGNIZANT,Total Debt,FY18,4489000.0
259,COGNIZANT,Total Debt,FY17,4552000.0
260,COGNIZANT,Total Debt,FY16,3534000.0
261,COGNIZANT,Total Debt,FY15,3783000.0
262,COGNIZANT,Long Term Debt,FY18,736000.0
263,COGNIZANT,Long Term Debt,FY17,698000.0
264,COGNIZANT,Long Term Debt,FY16,797000.0
265,COGNIZANT,Long Term Debt,FY15,877000.0
266,COGNIZANT,Equity,FY18,11424000.0
267,COGNIZANT,Equity,FY17,10669000.0
268,COGNIZANT,Equity,FY16,10728000.0
269,COGNIZANT,Equity,FY15,9278000.0
270,CGI,Assets,FY18,11919066.0
271,CGI,Assets,FY17,11396212.0
272,CGI,Assets,FY16,11693332.0
273,CGI,Assets,FY15,11787270.0
274,CGI,Total Debt,FY18,5234259.0
275,CGI,Total Debt,FY17,5193586.0
276,CGI,Total Debt,FY16,5228724.0
277,CGI,Total Debt,FY15,5705101.0
278,CGI,Long Term Debt,FY18,1485865.0
279,CGI,Long Term Debt,FY17,1811485.0
280,CGI,Long Term Debt,FY16,1765062.0
281,CGI,Long Term Debt,FY15,1896181.0
282,CGI,Equity,FY18,6684807.0
283,CGI,Equity,FY17,6202626.0
284,CGI,Equity,FY16,6464608.0
285,CGI,Equity,FY15,6082169.0
286,DXC,Assets,FY18,33921000.0
287,DXC,Assets,FY17,8663000.0
288,DXC,Assets,FY16,7736000.0
289,DXC,Assets,FY15,10221000.0
290,DXC,Total Debt,FY18,20084000.0
291,DXC,Total Debt,FY17,6497000.0
292,DXC,Total Debt,FY16,5704000.0
293,DXC,Total Debt,FY15,7256000.0
294,DXC,Long Term Debt,FY18,5552000.0
295,DXC,Long Term Debt,FY17,2159000.0
296,DXC,Long Term Debt,FY16,1865000.0
297,DXC,Long Term Debt,FY15,1550000.0
298,DXC,Equity,FY18,13487000.0
299,DXC,Equity,FY17,1888000.0
300,DXC,Equity,FY16,2025000.0
301,DXC,Equity,FY15,2937000.0
302,IBM,Assets,FY18,123382000.0
303,IBM,Assets,FY17,125356000.0
304,IBM,Assets,FY16,117470000.0
305,IBM,Assets,FY15,110495000.0
